# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
9.200000,0.312427,1.391318
9.216667,0.316330,1.390197
9.233333,0.320137,1.389309
9.250000,0.323841,1.388665
9.266667,0.327436,1.388275
9.283333,0.330912,1.388150
9.300000,0.334263,1.388301
9.316667,0.337481,1.388737
9.333333,0.340555,1.389469
9.350000,0.343479,1.390505
9.366667,0.346244,1.391852
9.383333,0.348841,1.393517
9.400000,0.351262,1.395508
9.416667,0.353500,1.397825
9.433333,0.355547,1.400474
9.450000,0.357396,1.403451
9.466667,0.359042,1.406758
9.483333,0.360482,1.410386
9.500000,0.361708,1.414334
9.516667,0.362723,1.418588
9.533333,0.363522,1.423142
9.550000,0.364107,1.427981
9.566667,0.364478,1.433091
9.583333,0.364640,1.438457
9.600000,0.364595,1.444064
9.616667,0.364348,1.449893
9.633333,0.363904,1.455928
9.650000,0.363271,1.462151
9.666667,0.362453,1.468546
9.683333,0.361459,1.475095
9.700000,0.360295,1.481781
9.716667,0.358970,1.488590
9.733333,0.357490,1.495507
9.750000,0.355863,1.502519
9.766667,0.354096,1.509611
9.783333,0.352196,1.516773
9.800000,0.350169,1.523993
9.816667,0.348022,1.531261
9.833333,0.345761,1.538568
9.850000,0.343392,1.545904
9.866667,0.340921,1.553263
9.883333,0.338352,1.560638
9.900000,0.335691,1.568022
9.916667,0.332942,1.575408
9.933333,0.330109,1.582793
9.950000,0.327196,1.590170
9.966667,0.324208,1.597537
9.983333,0.321147,1.604888
10.000000,0.318017,1.612221
10.016667,0.314822,1.619532
10.033333,0.311563,1.626819
10.050000,0.308244,1.634079
10.066667,0.304867,1.641310
10.083333,0.301435,1.648509
10.100000,0.297950,1.655676
10.116667,0.294413,1.662808
10.133333,0.290828,1.669904
10.150000,0.287196,1.676963
10.166667,0.283518,1.683983
10.183333,0.279798,1.690965
10.200000,0.276035,1.697907
10.216667,0.272232,1.704808
10.233333,0.268390,1.711668
10.250000,0.264511,1.718487
10.266667,0.260596,1.725265
10.283333,0.256647,1.732001
10.300000,0.252665,1.738695
10.316667,0.248651,1.745348
10.333333,0.244608,1.751960
10.350000,0.240536,1.758531
10.366667,0.236437,1.765062
10.383333,0.232313,1.771554
10.400000,0.228166,1.778008
10.416667,0.223996,1.784426
10.433333,0.219807,1.790807
10.450000,0.215600,1.797155
10.466667,0.211378,1.803472
10.483333,0.207143,1.809759
10.500000,0.202899,1.816019
10.516667,0.198649,1.822257
10.533333,0.194397,1.828476
10.550000,0.190149,1.834679
10.566667,0.185911,1.840874
10.583333,0.181689,1.847064
10.600000,0.177494,1.853259
10.616667,0.173338,1.859465
10.633333,0.169235,1.865692
10.650000,0.165205,1.871949
10.666667,0.161275,1.878245
10.683333,0.157480,1.884591
10.700000,0.153865,1.890990
10.716667,0.150491,1.897441
10.733333,0.147434,1.903927
10.750000,0.144782,1.910413
10.766667,0.142625,1.916838
10.783333,0.141033,1.923123
10.800000,0.140034,1.929190
10.816667,0.139609,1.934984
10.833333,0.139702,1.940481
10.850000,0.140235,1.945690
10.866667,0.141134,1.950637
10.883333,0.142328,1.955355
10.900000,0.143761,1.959878
10.916667,0.145386,1.964240
10.933333,0.147166,1.968469
10.950000,0.149072,1.972589
10.966667,0.151080,1.976621
10.983333,0.153171,1.980581
11.000000,0.155329,1.984485
11.016667,0.157542,1.988345
11.033333,0.159798,1.992171
11.050000,0.162089,1.995973
11.066667,0.164407,1.999759
11.083333,0.166746,2.003535
11.100000,0.169098,2.007307
11.116667,0.171461,2.011080
11.133333,0.173828,2.014859
11.150000,0.176197,2.018649
11.166667,0.178562,2.022452
11.183333,0.180921,2.026273
11.200000,0.183271,2.030114
11.216667,0.185608,2.033978
11.233333,0.187929,2.037868
11.250000,0.190232,2.041786
11.266667,0.192515,2.045735
11.283333,0.194774,2.049717
11.300000,0.197006,2.053733
11.316667,0.199210,2.057787
11.333333,0.201383,2.061879
11.350000,0.203522,2.066011
11.366667,0.205624,2.070186
11.383333,0.207686,2.074405
11.400000,0.209706,2.078669
11.416667,0.211681,2.082980
11.433333,0.213608,2.087340
11.450000,0.215483,2.091750
11.466667,0.217304,2.096212
11.483333,0.219066,2.100727
11.500000,0.220767,2.105297
11.516667,0.222402,2.109923
11.533333,0.223967,2.114606
11.550000,0.225458,2.119347
11.566667,0.226871,2.124148
11.583333,0.228200,2.129010
11.600000,0.229442,2.133933
11.616667,0.230589,2.138920
11.633333,0.231638,2.143969
11.650000,0.232580,2.149082
11.666667,0.233411,2.154259
11.683333,0.234124,2.159500
11.700000,0.234711,2.164806
11.716667,0.235165,2.170175
11.733333,0.235479,2.175606
11.750000,0.235644,2.181099
11.766667,0.235651,2.186652
11.783333,0.235491,2.192262
11.800000,0.235156,2.197927
11.816667,0.234635,2.203642
11.833333,0.233920,2.209404
11.850000,0.233001,2.215207
11.866667,0.231867,2.221044
11.883333,0.230511,2.226910
11.900000,0.228922,2.232794
11.916667,0.227092,2.238689
11.933333,0.225013,2.244585
11.950000,0.222678,2.250469
11.966667,0.220081,2.256329
11.983333,0.217219,2.262153
12.000000,0.214086,2.267928
12.016667,0.210684,2.273638
12.033333,0.207011,2.279269
12.050000,0.203070,2.284808
12.066667,0.198865,2.290239
12.083333,0.194401,2.295548
12.100000,0.189688,2.300723
12.116667,0.184732,2.305751
12.133333,0.179546,2.310622
12.150000,0.171042,2.317865
12.166667,0.165320,2.322288
12.183333,0.159412,2.326523
12.200000,0.153333,2.330565
12.216667,0.147095,2.334407
12.233333,0.140714,2.338049
12.250000,0.134203,2.341487
12.266667,0.127576,2.344720
12.283333,0.120847,2.347748
12.300000,0.114028,2.350571
12.316667,0.107131,2.353191
12.333333,0.100170,2.355608
12.350000,0.093154,2.357824
12.366667,0.086096,2.359844
12.383333,0.079005,2.361668
12.400000,0.071892,2.363300
12.416667,0.064765,2.364744
12.433333,0.057634,2.366002
12.450000,0.050507,2.367079
12.466667,0.043391,2.367977
12.483333,0.036295,2.368701
12.500000,0.029224,2.369254
12.516667,0.022187,2.369641
12.533333,0.015188,2.369864
12.550000,0.008234,2.369928
12.566667,0.001330,2.369836
12.583333,-0.005520,2.369592
12.600000,-0.012310,2.369201
12.616667,-0.019035,2.368664
12.633333,-0.025693,2.367988
12.650000,-0.032279,2.367174
12.666667,-0.038790,2.366226
12.683333,-0.045224,2.365148
